＜いも類＞ じゃがいも 塊茎 皮つき 電子レンジ調理,2.1,0.2,19.2,2
＜いも類＞ じゃがいも 塊茎 皮つき フライドポテト （生を揚げたもの）,2.7,5.6,25.4,2
＜いも類＞ じゃがいも 塊茎 皮なし 生,1.8,0.1,17.3,2
＜いも類＞ じゃがいも 塊茎 皮なし 水煮,1.7,0.1,16.9,2
＜いも類＞ じゃがいも 塊茎 皮なし 蒸し,1.9,0.3,18.1,2
＜いも類＞ じゃがいも 塊茎 皮なし 電子レンジ調理,1.9,0.1,19,2
＜いも類＞ じゃがいも 塊茎 皮なし フライドポテト （生を揚げたもの）,2.7,5.9,26.2,2
＜いも類＞ じゃがいも 塊茎 皮なし フライドポテト （市販冷凍食品を揚げたもの）,2.9,10.6,32.4,2
＜いも類＞ じゃがいも 乾燥マッシュポテト,6.6,0.6,82.8,2
＜いも類＞ ヤーコン 塊根 生,0.6,0.3,12.4,2
＜いも類＞ ヤーコン 塊根 水煮,0.6,0.3,9.9,2
＜いも類＞ （やまのいも類） ながいも いちょういも 塊根 生,4.5,0.5,22.6,2
＜いも類＞ （やまのいも類） ながいも ながいも 塊根 生,2.2,0.3,13.9,2
＜いも類＞ （やまのいも類） ながいも ながいも 塊根 水煮,2,0.3,12.6,2
＜いも類＞ （やまのいも類） ながいも やまといも 塊根 生,4.5,0.2,27.1,2
＜いも類＞ （やまのいも類） じねんじょ 塊根 生,2.8,0.7,26.7,2
＜いも類＞ （やまのいも類） だいじょ 塊根 生,2.6,0.1,25,2
＜でん粉・でん粉製品＞ （でん粉類） おおうばゆりでん粉,0.1,0.1,83.6,2
＜でん粉・でん粉製品＞ （でん粉類） キャッサバでん粉,0.1,0.2,85.3,2
＜でん粉・でん粉製品＞ （でん粉類） くずでん粉,0.2,0.2,85.6,2
＜でん粉・でん粉製品＞ （でん粉類） 米でん粉,0.2,0.7,89.3,2
＜でん粉・でん粉製品＞ （でん粉類） 小麦でん粉,0.2,0.5,86,2
＜でん粉・でん粉製品＞ （でん粉類） サゴでん粉,0.1,0.2,86.1,2
＜でん粉・でん粉製品＞ （でん粉類） さつまいもでん粉,0.1,0.2,82,2
＜でん粉・でん粉製品＞ （でん粉類） じゃがいもでん粉,0.1,0.1,81.6,2
＜でん粉・でん粉製品＞ （でん粉類） とうもろこしでん粉,0.1,0.7,86.3,2
＜でん粉・でん粉製品＞ （でん粉製品） くずきり 乾,0.2,0.2,87.7,2
＜でん粉・でん粉製品＞ （でん粉製品） くずきり ゆで,0.1,0.1,33.3,2
＜でん粉・でん粉製品＞ （でん粉製品） ごま豆腐,1.5,4.3,9.1,2
＜でん粉・でん粉製品＞ （でん粉製品） タピオカパール 乾,0,0.2,87.8,2
＜でん粉・でん粉製品＞ （でん粉製品） タピオカパール ゆで,0,0,15.4,2
＜でん粉・でん粉製品＞ （でん粉製品） でん粉めん 生,0.1,0.2,32.2,2
＜でん粉・でん粉製品＞ （でん粉製品） でん粉めん 乾,0.2,0.3,86.7,2
